CVE_SUBCUE,SUBCUENCA,TIPO,AREA,PERIMETRO,CVE_CUE,iie_2018_mean,iie_2018_variance,iie_2018_count,EDOS_CUE
RH30Gc,"R. Chajul",EXORREICA,14.76 km²,21.13 km,RH30G,0.485014015244896,0.0424790623711366,223,"CS"
RH30Gb,"R. Ixcán",EXORREICA,17.13 km²,21.12 km,RH30G,0.378573212904977,0.0280737948844858,262,"CS"
RH21Ae,"Sin nombre",EXORREICA,581.12 km²,140.41 km,RH21A,0.944004849805728,0.011027876053365,8481,"OC"
RH30Fd,"R. Lagartero",EXORREICA,485.94 km²,117.42 km,RH30F,0.40762074604494,0.0324510319410184,7759,"CS"
RH30Fg,"R. La Concordia",EXORREICA,976.67 km²,182.29 km,RH30F,0.676683860573632,0.0818846444273751,15490,"CS"
RH21Ag,"R. Zimatlán",EXORREICA,480.55 km²,128.31 km,RH21A,0.847288855262426,0.0223174597675349,7662,"OC"
RH21Ac,"A. Platanar",EXORREICA,377.69 km²,95.73 km,RH21A,0.881434246973738,0.0389792706330992,5993,"OC"
RH23Da,"R. Zanatenco",EXORREICA,230.83 km²,91.91 km,RH23D,0.559046354922848,0.0528618375464436,3679,"CS,OC"
RH21Cd,"R. San Francisco",EXORREICA,632.51 km²,136.55 km,RH21C,0.479796702827671,0.0509176490680994,9414,"OC"
RH21Cc,"R. Grande",EXORREICA,479.60 km²,131.59 km,RH21C,0.315051435453388,0.0117661952001821,12384,"OC"
RH30Bb,"R. Negro",EXORREICA,438.70 km²,120.37 km,RH30B,0.499038297585204,0.0473081106838553,6855,"CS"
RH21Ba,"R. Copalita",EXORREICA,1536.36 km²,231.37 km,RH21B,0.74742175519078,0.0257046534814983,24530,"OC"
RH21Ca,"R. Colotepec",EXORREICA,1699.06 km²,251.48 km,RH21C,0.747873862611074,0.0413112685404256,27092,"OC"
RH21Cb,"(San Pedro Mixtepec)",EXORREICA,927.22 km²,202.90 km,RH21C,0.595895148486941,0.062290092535269,14651,"OC"
RH21Ad,"R. Astata",EXORREICA,560.09 km²,142.90 km,RH21A,0.792377245765285,0.042553278029155,8917,"OC"
RH21Aa,"Salina Cruz",EXORREICA,334.07 km²,114.30 km,RH21A,0.612483302576901,0.123020603260899,5244,"OC"
RH30Ff,"R. San Pedro",EXORREICA,1060.16 km²,196.81 km,RH30F,0.77506856595874,0.0488618568524605,22281,"CS"
RH21Ab,"R. Santa Gertrudis",EXORREICA,276.51 km²,102.53 km,RH21A,0.802638256587242,0.0402106471489848,4417,"OC"
RH23Dc,"R. La Punta",EXORREICA,222.78 km²,111.41 km,RH23D,0.523911231775456,0.0549542304779458,3565,"CS,OC"
RH23Db,"Mar Muerto",EXORREICA,2111.28 km²,338.91 km,RH23D,0.406908045543379,0.0442601751062134,24897,"CS,OC"
RH30Gl,"R. Comitan",ENDORREICA,810.43 km²,219.26 km,RH30G,0.436652356716507,0.0620921681322639,12792,"CS"
RH20Bb,"L. de Motengo",EXORREICA,1021.05 km²,212.60 km,RH20B,0.381639887553413,0.0386405225958325,15837,"GR,OC"
RH30Fa,"P. La Angostura",EXORREICA,3566.06 km²,589.70 km,RH30F,0.467894354236418,0.0417964992350174,49323,"CS"
RH30Gn,"R. Seco",EXORREICA,435.32 km²,160.34 km,RH30G,0.867414091650175,0.0363369732137806,32636,"CS"
RH23Dd,"R. Las Arenas",EXORREICA,382.89 km²,119.96 km,RH23D,0.517736235826045,0.0434912099246624,6113,"CS,OC"
RH30Gm,"R. Santo Domingo",EXORREICA,606.72 km²,190.86 km,RH30G,0.616334719187747,0.070177724532921,25996,"CS"
RH22Ba,"R. Bajo Tehuantepec",EXORREICA,701.13 km²,170.81 km,RH22B,0.666929905936232,0.0880009387237985,11200,"OC"
RH30Go,"R. Caliente",EXORREICA,276.16 km²,131.41 km,RH30G,0.661332685622836,0.0523717888689677,4419,"CS"
RH20Aa,"R. Atoyac - Paso de la Reina",EXORREICA,1641.18 km²,275.60 km,RH20A,0.581195628011542,0.0532503307052009,25990,"GR,OC"
RH30Gf,"L. Miramar",EXORREICA,446.36 km²,142.78 km,RH30G,0.809397178655621,0.0450944606829723,6764,"CS"
RH23De,"R. Tapanatepec",EXORREICA,261.37 km²,124.82 km,RH23D,0.53107077704682,0.0472571350061314,4183,"CS,OC"
RH20Ba,"R. La Arena",EXORREICA,1327.31 km²,242.90 km,RH20B,0.470704775740519,0.0408843439972782,20874,"GR,OC"
RH30Gp,"R. Euseba",EXORREICA,440.12 km²,141.92 km,RH30G,0.719851014523563,0.0575821670671772,7030,"CS"
RH22Be,"R. Tequisistlán",EXORREICA,2251.10 km²,246.34 km,RH22B,0.743678955899306,0.0237326874493789,35988,"OC"
RH30Ba,"R. Chixoy",EXORREICA,706.00 km²,192.28 km,RH30B,0.506755050170974,0.0373494181726242,10913,"CS"
RH30Eh,"R. de Zoyatenco",EXORREICA,1046.13 km²,202.23 km,RH30E,0.535284478129875,0.0793194567099962,16705,"CS,OC,VZ"
RH20Cf,"R. Ometepec o Grande",EXORREICA,547.17 km²,200.56 km,RH20C,0.366186501029587,0.0256867353278149,8692,"GR,OC"
RH30Fe,"R. Aguacatenco",EXORREICA,2230.59 km²,316.14 km,RH30F,0.4409528264274,0.0511929924732666,35613,"CS"
RH22Ad,"R. Cazadero",EXORREICA,505.69 km²,124.33 km,RH22A,0.502484423169883,0.0507893582435287,8030,"OC"
RH30El,"R. Santo Domingo",EXORREICA,2016.63 km²,370.95 km,RH30E,0.616334719187747,0.070177724532921,25996,"CS,OC,VZ"
RH22Ac,"R. Niltepec",EXORREICA,347.88 km²,116.84 km,RH22A,0.452834291357824,0.0530447182101966,5552,"OC"
RH30Gk,"R. Margaritas",ENDORREICA,1168.25 km²,245.24 km,RH30G,0.564651487560794,0.0493989467332222,18646,"CS"
RH30Ga,"R. Lacantún",EXORREICA,2526.79 km²,547.74 km,RH30G,0.730337899594574,0.0695244429175735,39664,"CS"
RH30Ge,"R. San Pedro",EXORREICA,1446.71 km²,231.20 km,RH30G,0.77506856595874,0.0488618568524605,22281,"CS"
RH22Bb,"P. Benito Juárez",EXORREICA,712.76 km²,135.77 km,RH22B,0.694351385946301,0.0756517027703032,10900,"OC"
RH22Aa,"L. Superior e Inferior",EXORREICA,2645.27 km²,409.95 km,RH22A,0.455613152691079,0.0666285892933235,30531,"OC"
RH20Ca,"Riíto Nuevo o Cortijos",EXORREICA,1568.41 km²,301.22 km,RH20C,0.42835581931642,0.0395403225976993,24989,"GR,OC"
RH30Ei,"R. Suchiapa",EXORREICA,2046.43 km²,330.97 km,RH30E,0.521210751031504,0.0743430510553291,32708,"CS,OC,VZ"
RH22Ab,"R. Ostuta",EXORREICA,1298.76 km²,197.97 km,RH22A,0.632752910167537,0.0208100539162634,7593,"OC"
RH30Gj,"R. Tzanconejá",EXORREICA,1897.76 km²,410.18 km,RH30G,0.652283870984209,0.0531849064073299,30325,"CS"
RH20Dc,"L. Chautengo",EXORREICA,273.15 km²,87.81 km,RH20D,0.436868324741259,0.0340985646789574,3544,"GR"
RH22Ae,"R. Chicapa",EXORREICA,492.23 km²,165.93 km,RH22A,0.629738365415672,0.0591359697198099,7863,"OC"
RH30Eg,"R. Cintalapa",EXORREICA,1286.85 km²,222.66 km,RH30E,0.484307794688239,0.0722117269714119,20552,"CS,OC,VZ"
RH20Ce,"R. Santa Catarina",EXORREICA,360.53 km²,115.90 km,RH20C,0.411320508943822,0.021244161168812,5706,"GR,OC"
RH20Ab,"R. Atoyac - San Pedro Juchatengo",EXORREICA,2944.77 km²,359.81 km,RH20A,0.709535115809119,0.038059758544466,47071,"GR,OC"
RH20De,"L. Tecomate",EXORREICA,388.13 km²,99.26 km,RH20D,0.421121836776704,0.0348034024552598,5686,"GR"
RH22Af,"R. Perros",EXORREICA,1216.01 km²,220.16 km,RH22A,0.606918559948256,0.0707345803447356,19427,"OC"
RH22Bd,"R. San Antonio",EXORREICA,2919.73 km²,301.91 km,RH22B,0.565322115746668,0.0468705010515427,46655,"OC"
RH30Gg,"R. Perlas",EXORREICA,787.47 km²,200.73 km,RH30G,0.795371900862015,0.0543847656734519,12581,"CS"
RH30Ej,"Tuxtla Gutiérrez",EXORREICA,390.88 km²,117.42 km,RH30E,0.308054025403484,0.0628331180996852,6245,"CS,OC,VZ"
RH30Ec,"R. Hondo",EXORREICA,514.80 km²,142.20 km,RH30E,0.662016917902796,0.0394807705214137,78554,"CS,OC,VZ"
RH19Aa,"L. de Tres Palos",EXORREICA,275.36 km²,94.89 km,RH19A,0.453181336453475,0.0458293215282195,3327,"GR"
RH20Db,"R. Copala",EXORREICA,642.65 km²,179.77 km,RH20D,0.602333478857516,0.0659333387111256,9810,"GR"
RH30Gi,"R. Azul",EXORREICA,1398.84 km²,253.93 km,RH30G,0.622070933663302,0.0551694303730653,28172,"CS"
RH30Ef,"R. Encajonado",EXORREICA,1742.81 km²,246.64 km,RH30E,0.745331956954433,0.0521710470713428,27830,"CS,OC,VZ"
RH20Df,"R. Cortés y Estancia",EXORREICA,719.99 km²,140.62 km,RH20D,0.413412780745557,0.0266283414147805,11360,"GR"
RH30Ee,"R. de la Venta",EXORREICA,1304.34 km²,222.17 km,RH30E,0.527438018409347,0.0473305913559219,20841,"CS,OC,VZ"
RH22Bc,"R. Alto Tehuantepec",EXORREICA,3628.62 km²,385.30 km,RH22B,0.642660936122551,0.0270483104256698,57961,"OC"
RH30Ek,"El Chapopote",EXORREICA,598.02 km²,149.46 km,RH30E,0.530327140057722,0.0291507338989648,9551,"CS,OC,VZ"
RH20Da,"R. Marquelia",EXORREICA,1336.63 km²,220.81 km,RH20D,0.570907062878399,0.0551655349635194,21248,"GR"
RH29Bh,"R. Tolosa",EXORREICA,1654.27 km²,232.50 km,RH29B,0.584461179419196,0.0556299835585238,26422,"CS,OC,VZ"
RH20Cc,"R. Puente",EXORREICA,607.81 km²,136.03 km,RH20C,0.623313565182356,0.0459273982731915,9708,"GR,OC"
RH30Gh,"R. Jataté",EXORREICA,1551.48 km²,393.22 km,RH30G,0.641921540734986,0.0613647447939595,24785,"CS"
RH20Dd,"R. Nexpa",EXORREICA,1325.91 km²,228.63 km,RH20D,0.480683748673941,0.0377513807973295,21010,"GR"
RH19Ac,"B. de Acapulco",EXORREICA,429.03 km²,161.65 km,RH19A,0.470443986016949,0.0574637052846105,6246,"GR"
RH30Dl,"R. Plátanos",EXORREICA,611.27 km²,139.27 km,RH30D,0.45671283234285,0.0400810476206693,9768,"CS,TC,VZ"
RH30Eb,"R. Alto Grijalva",EXORREICA,2894.89 km²,464.85 km,RH30E,0.396628138181982,0.0374486597176563,45775,"CS,OC,VZ"
RH19Ab,"R. La Sabana",EXORREICA,466.03 km²,165.09 km,RH19A,0.48170213786095,0.073126671638994,7414,"GR"
RH30Dm,"R. Chacté",EXORREICA,1490.61 km²,218.74 km,RH30D,0.448421093160851,0.0308815368265703,23803,"CS,TC,VZ"
RH30Gd,"R. Lacanjá",EXORREICA,1980.04 km²,400.18 km,RH30G,0.783289426404694,0.0559131450720813,31258,"CS"
RH29Bf,"R. Santiago Tutla",EXORREICA,447.54 km²,118.76 km,RH29B,0.805403058219509,0.0278014246276969,7144,"CS,OC,VZ"
RH29Be,"R. Ixcuintepec",EXORREICA,1084.01 km²,186.51 km,RH29B,0.806153023855605,0.0192702148518513,17331,"CS,OC,VZ"
RH19Ae,"A. Cacalutla",EXORREICA,536.09 km²,122.77 km,RH19A,0.516428254739474,0.043732848894537,7617,"GR"
RH20Ae,"R. Yolatepec",EXORREICA,2234.67 km²,316.23 km,RH20A,0.755953073865673,0.0393318232003903,35698,"GR,OC"
RH30Ed,"R. Chicoasén",EXORREICA,970.61 km²,167.78 km,RH30E,0.500242184627078,0.0373195773184244,15498,"CS,OC,VZ"
RH30Ea,"P. Netzahualcóyotl",EXORREICA,1922.40 km²,327.74 km,RH30E,0.630550354080883,0.0694482803537021,30439,"CS,OC,VZ"
RH20Cd,"R. Quetzala",EXORREICA,2047.69 km²,261.76 km,RH20C,0.674937369726813,0.0568085475357995,32712,"GR,OC"
RH30Dq,"R. Yashijá",EXORREICA,565.83 km²,155.59 km,RH30D,0.64579892788504,0.0450967053455802,9047,"CS,TC,VZ"
RH19Ag,"L. del Tular",EXORREICA,141.72 km²,65.53 km,RH19A,0.506150006351699,0.0470100956947616,2229,"GR"
RH20Cb,"R. San Miguel",EXORREICA,1898.28 km²,319.26 km,RH20C,0.818001761209841,0.0271478244812152,66781,"GR,OC"
RH30Dd,"R. Tzimbac",EXORREICA,252.50 km²,127.76 km,RH30D,0.483275808234228,0.033493305546296,4026,"CS,TC,VZ"
RH29Bk,"R. Oaxaca",EXORREICA,1324.73 km²,239.55 km,RH29B,0.820560127243369,0.0521728823255199,21166,"CS,OC,VZ"
RH30Dp,"R. Shumulá",EXORREICA,1006.95 km²,192.41 km,RH30D,0.503103230988387,0.0457852598553779,16083,"CS,TC,VZ"
RH19Ba,"L. Nuxco",EXORREICA,291.33 km²,82.32 km,RH19B,0.435560590934713,0.0288593752907266,4466,"GR"
RH29Bg,"R. Palo Grande",EXORREICA,708.77 km²,158.74 km,RH29B,0.485770189676478,0.034840578366494,11323,"CS,OC,VZ"
RH20Ac,"R. Atoyac - Oaxaca de Juárez",EXORREICA,5863.47 km²,546.87 km,RH20A,0.457422525427706,0.0773781080544842,93680,"GR,OC"
RH30Af,"R. Chacal¡áh",EXORREICA,972.00 km²,247.80 km,RH30A,0.550051633467021,0.0404654226931182,15517,"CC,CS,TC"
RH30De,"R. Zayula",EXORREICA,419.92 km²,119.45 km,RH30D,0.494296772551607,0.0325320088580931,6715,"CS,TC,VZ"
RH20Ec,"R. Unión",EXORREICA,1543.81 km²,222.08 km,RH20E,0.706862780380107,0.0371650488849303,24657,"GR"
RH30Ds,"R. Bascá",EXORREICA,439.04 km²,124.98 km,RH30D,0.518605698742949,0.0271931412177012,7022,"CS,TC,VZ"
RH29Bi,"R. Chachijapa",EXORREICA,1690.29 km²,238.08 km,RH29B,0.644106047648644,0.06671931985847,26987,"CS,OC,VZ"
RH20Eb,"R. Omitlán",EXORREICA,1018.97 km²,197.04 km,RH20E,0.644635171669086,0.0427997183784377,16274,"GR"
RH30Dk,"R. Almendro",EXORREICA,1042.85 km²,174.76 km,RH30D,0.489792463781376,0.0330453558520776,16656,"CS,TC,VZ"
RH19Ad,"R. Coyuca",EXORREICA,1300.77 km²,229.50 km,RH19A,0.711070829856838,0.0516899930679122,20755,"GR"
RH20Ee,"R. San Miguel",EXORREICA,660.13 km²,157.70 km,RH20E,0.818001761209841,0.0271478244812152,66781,"GR"
RH29Bd,"R. Jaltepec",EXORREICA,1803.47 km²,302.52 km,RH29B,0.2841726516872,0.0226398042872385,5863,"CS,OC,VZ"
RH19Af,"R. Atoyac",EXORREICA,902.70 km²,192.82 km,RH19A,0.382537024322652,0.0333729071296514,26836,"GR"
RH19Bd,"R. Juluchuca",EXORREICA,254.79 km²,74.97 km,RH19B,0.54463338297262,0.0279291906427317,4017,"GR"
RH29Bm,"R. Nanchital",EXORREICA,834.09 km²,200.56 km,RH29B,0.612577411909631,0.0585458871740839,13336,"CS,OC,VZ"
RH18Eb,"R. Atlamajac",EXORREICA,840.45 km²,163.66 km,RH18E,0.592134020863763,0.0440759242839415,13415,"GR,OC,PL"
RH20Ea,"R. Papagayo",EXORREICA,2546.58 km²,415.93 km,RH20E,0.658971114986258,0.0463390088838897,40590,"GR"
RH30Df,"R. Platanar",EXORREICA,399.92 km²,129.98 km,RH30D,0.412063194866973,0.0052257539722482,6382,"CS,TC,VZ"
RH20Ed,"R. Azul",EXORREICA,1764.19 km²,311.86 km,RH20E,0.622070933663302,0.0551694303730653,28172,"GR"
RH30Dn,"R. Puxcatán",EXORREICA,674.35 km²,184.96 km,RH30D,0.502939779481073,0.0369465165390609,10768,"CS,TC,VZ"
RH20Ad,"R. Sordo",EXORREICA,5574.40 km²,506.41 km,RH20A,0.542484245538039,0.0459875951763506,89053,"GR,OC"
RH19Ah,"R. Teapan",EXORREICA,1338.38 km²,214.91 km,RH19A,0.74284993530939,0.0444595518493982,21333,"GR"
RH30Ae,"R. Chacamax",EXORREICA,1183.42 km²,201.40 km,RH30A,0.445808195530793,0.0247120950240186,18844,"CC,CS,TC"
RH30Dr,"R. Tulijá",EXORREICA,1699.44 km²,338.11 km,RH30D,0.500364966177703,0.0360404172121146,26868,"CS,TC,VZ"
RH19Ca,"Zihuatanejo",EXORREICA,327.92 km²,130.21 km,RH19C,0.454814764009627,0.0430140275806489,5074,"GR"
RH19Bb,"R. Grande o San Luis",EXORREICA,1173.74 km²,197.90 km,RH19B,0.654263949886034,0.0594640101897957,18674,"GR"
RH30Dg,"R. Paredón",EXORREICA,381.97 km²,118.00 km,RH30D,0.392666738096935,0.00476088599177525,6098,"CS,TC,VZ"
RH19Bc,"R. Coyuquilla",EXORREICA,601.74 km²,156.94 km,RH19B,0.654297645288764,0.0530039774623953,9546,"GR"
RH28Al,"R. Manso",EXORREICA,1111.18 km²,194.52 km,RH28A,0.631062345709217,0.0640879643997751,17751,"OC,PL,VZ"
RH29Af,"R. Pozacrispín",EXORREICA,994.78 km²,225.77 km,RH29A,0.487358370704518,0.0212848895365049,15888,"CS,TC,VZ"
RH18Ec,"R. Coycoyan",EXORREICA,1197.39 km²,200.13 km,RH18E,0.635847482710275,0.0445582629200716,19132,"GR,OC,PL"
RH19Be,"R. Petatlán",EXORREICA,548.64 km²,142.88 km,RH19B,0.903953163296557,0.0108179575923591,35354,"GR"
RH29Ag,"R. Tancochapa Alto",EXORREICA,1191.96 km²,205.28 km,RH29A,0.449583388487751,0.0157131882933613,18995,"CS,TC,VZ"
RH30Do,"R. Macuspana",EXORREICA,1179.22 km²,228.70 km,RH30D,0.486638646933719,0.0298827877956634,18670,"CS,TC,VZ"
RH30Dj,"R. Tacotalpa",EXORREICA,514.58 km²,171.99 km,RH30D,0.468171129578,0.0370901922940052,8221,"CS,TC,VZ"
RH28Ao,"R. Trinidad",EXORREICA,2645.08 km²,432.23 km,RH28A,0.612497039307824,0.0538145683614201,42269,"OC,PL,VZ"
RH28Ak,"R. Playa",EXORREICA,2805.23 km²,393.47 km,RH28A,0.698346948417737,0.0426234077357529,44815,"OC,PL,VZ"
RH28An,"R. de la Lana",EXORREICA,2849.48 km²,365.26 km,RH28A,0.53052241096223,0.0488573913446781,45498,"OC,PL,VZ"
RH18Be,"R. Tetlanapa",EXORREICA,549.61 km²,152.04 km,RH18B,0.499667188647179,0.0589953259948867,8778,"GR,MC,MS,PL"
RH18Bf,"R. Pachumeco",EXORREICA,1395.46 km²,222.49 km,RH18B,0.711534121726806,0.0471364331900078,22296,"GR,MC,MS,PL"
RH29Ah,"R. Zanapa",EXORREICA,445.63 km²,131.86 km,RH29A,0.400258223373906,0.0240373309674232,7118,"CS,TC,VZ"
RH29Bj,"R. Coachapa",EXORREICA,1453.28 km²,206.92 km,RH29B,0.465653848305411,0.0169230333073232,22980,"CS,OC,VZ"
RH19Bf,"R. San Jeronimito",EXORREICA,812.16 km²,212.84 km,RH19B,0.641634598178705,0.0481428228480308,12781,"GR"
RH18Bd,"R. Huajapa",EXORREICA,1299.98 km²,192.77 km,RH18B,0.661710153660431,0.0391144652079597,20771,"GR,MC,MS,PL"
RH28Af,"R. Quiotepec",EXORREICA,4944.73 km²,435.71 km,RH28A,0.638900034696403,0.0391053948815394,78994,"OC,PL,VZ"
RH30Dh,"R. Pichucalco",EXORREICA,1314.23 km²,260.76 km,RH30D,0.441379459876093,0.0248255107250184,20932,"CS,TC,VZ"
RH30Di,"R. de la Sierra",EXORREICA,1073.57 km²,267.33 km,RH30D,0.450657541102904,0.0296679261298092,17086,"CS,TC,VZ"
RH28Ah,"R. Usila o Santa Rosa",EXORREICA,766.32 km²,142.32 km,RH28A,0.786233858828316,0.0391562993823159,12249,"OC,PL,VZ"
RH30Dc,"R. Mezcalapa",EXORREICA,1281.88 km²,352.88 km,RH30D,0.425327116857367,0.0247799157562075,20283,"CS,TC,VZ"
RH19Cc,"R. Pontla y A. Grande",EXORREICA,615.80 km²,127.88 km,RH19C,0.601584464442975,0.0377891168693725,9755,"GR"
RH30Ab,"R. San Pedro",EXORREICA,2119.50 km²,271.88 km,RH30A,0.77506856595874,0.0488618568524605,22281,"CC,CS,TC"
RH30Db,"R. Viejo Mezcalapa",EXORREICA,566.13 km²,165.11 km,RH30D,0.342290133928162,0.0131372004143154,8835,"CS,TC,VZ"
RH18Ed,"R. Salado",EXORREICA,629.96 km²,159.78 km,RH18E,0.462440426182462,0.070965223223182,16124,"GR,OC,PL"
RH18Bc,"R. Huautla",EXORREICA,1905.77 km²,248.85 km,RH18B,0.711382248394093,0.0292037667468364,30447,"GR,MC,MS,PL"
RH28Ai,"R. Valle Nacional",EXORREICA,1370.34 km²,259.79 km,RH28A,0.82607651307059,0.0457832548482859,21884,"OC,PL,VZ"
RH29Bl,"R. Uspanapa",EXORREICA,2823.89 km²,434.77 km,RH29B,0.547687711840112,0.0418755332944181,44929,"CS,OC,VZ"
RH29Ae,"R. Tancochapa Bajo",EXORREICA,533.72 km²,155.04 km,RH29A,0.549828416792687,0.0504187019414495,8453,"CS,TC,VZ"
RH29Ac,"R. Coacajapa",EXORREICA,814.45 km²,168.42 km,RH29A,0.399898730482313,0.0226965109087516,12926,"CS,TC,VZ"
RH19Cb,"R. Ixtapa",EXORREICA,876.08 km²,192.79 km,RH19C,0.699799476639975,0.0681410601515166,7775,"GR"
RH17Aa,"Sin nombre",EXORREICA,140.63 km²,68.79 km,RH17A,0.944004849805728,0.011027876053365,8481,"MN"
RH18Ea,"R. Tlapaneco",EXORREICA,2390.02 km²,346.65 km,RH18E,0.616265761340988,0.0521259987960738,38186,"GR,OC,PL"
RH30Du,"R. Chilapilla",EXORREICA,685.62 km²,152.02 km,RH30D,0.566297588116811,0.06921385262011,9732,"CS,TC,VZ"
RH18Cg,"R. Ajuchitlán",EXORREICA,1706.20 km²,235.48 km,RH18C,0.730968988897551,0.022898190732459,27191,"GR,MC,MN"
RH28Ag,"R. Santo Domingo",EXORREICA,1760.28 km²,335.18 km,RH28A,0.616334719187747,0.070177724532921,25996,"OC,PL,VZ"
RH29Ba,"R. Coatzacoalcos",EXORREICA,6116.09 km²,975.99 km,RH29B,0.636788604261883,0.0832153538375675,96828,"CS,OC,VZ"
RH18Ba,"R. Balsas - San Juan Tetelzingo",EXORREICA,2669.21 km²,561.49 km,RH18B,0.578945159586924,0.0403501323710818,42640,"GR,MC,MS,PL"
RH19Ce,"R. La Cofradía",EXORREICA,567.05 km²,138.68 km,RH19C,0.510751725206494,0.0236698904717916,9028,"GR"
RH19Cd,"R. La Unión",EXORREICA,1188.04 km²,208.67 km,RH19C,0.701746686744033,0.0344967571386564,18979,"GR"
RH30Dx,"R. Samaria",EXORREICA,549.02 km²,127.61 km,RH30D,0.325064558291392,0.0133574735257315,8631,"CS,TC,VZ"
RH30Dy,"R. Cunduacán",EXORREICA,508.24 km²,192.85 km,RH30D,0.301485369158557,0.00919731385665586,8110,"CS,TC,VZ"
RH30Cf,"Varias",EXORREICA,3729.00 km²,403.28 km,RH30C,0.548353058664159,0.046924042771271,15080,"CC,TC"
RH29Ad,"R. Tonalá",EXORREICA,1684.57 km²,276.60 km,RH29A,0.580803139413228,0.0511428389990191,26137,"CS,TC,VZ"
RH28Am,"R. Tesechoacán",EXORREICA,1586.59 km²,230.96 km,RH28A,0.358522890876229,0.00441167917018049,25306,"OC,PL,VZ"
